id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
9385519,557,340,32,251,7787,"{'javascript': 1139, 'shell': 775}",Organization,https://api.github.com/repos/fantasyland/fantasy-land,2019-10-08T11:13:03Z,"['fantasy-land', 'functional', 'specification']",specification for interoperability of common algebraic structures in javascript
19919669,717,2641,21,490,7787,"{'css': 25051, 'html': 2615, 'javascript': 46946}",User,https://api.github.com/repos/sentsin/layer,2019-09-09T09:46:49Z,"['alert', 'confirm', 'dialog', 'layer', 'layui', 'tips']", web   alert and confirm and prompt and  and  and iframe and tips 
2823326,1817,676,79,280,7769,"{'dockerfile': 587, 'makefile': 597, 'python': 59395, 'shell': 2575}",Organization,https://api.github.com/repos/asciinema/asciinema,2019-11-06T21:23:56Z,"['asciicast', 'recorder', 'recording', 'terminal', 'terminal-recording']",terminal session recorder
16977232,5862,1802,2,340,7760,"{'css': 25, 'javascript': 6312}",User,https://api.github.com/repos/fengyuanchen/cropper,2019-12-14T09:12:18Z,"['cropper', 'image-cropper', 'image-processing', 'jquery', 'jquery-plugin']",deprecated no longer please use https and and github com and fengyuanchen and jquery cropper
95750391,1010,1291,104,319,7753,"{'groovy': 196591, 'java': 358578, 'shell': 231}",Organization,https://api.github.com/repos/didi/VirtualAPK,2019-09-11T08:17:57Z,[],a powerful and lightweight plugin framework for android
88703315,298955,1328,37,145,7749,"{'html': 1302, 'java': 387704, 'kotlin': 11369}",User,https://api.github.com/repos/gyf-dev/ImmersionBar,2019-12-13T10:40:53Z,"['android', 'bar', 'dialog', 'immersion', 'navigation', 'navigationbar', 'status', 'statusbar']",android        activity fragment dialogfragment dialog popupwindow  bar readme  http and and www jianshu com and p and aea
622166,2967,921,115,362,7740,{'php': 1229},Organization,https://api.github.com/repos/FriendsOfPHP/Goutte,2019-12-06T13:49:04Z,[],a simple php web scraper
1688596,404,1807,14,269,7732,{'shell': 4649},Organization,https://api.github.com/repos/thoughtbot/laptop,2019-12-13T21:11:19Z,[],a shell script to set up a macos laptop for web and mobile development
63571529,63267,1804,2,565,7702,"{'javascript': 4394, 'shell': 452}",User,https://api.github.com/repos/JackyAndroid/AndroidInterview-Q-A,2019-10-23T04:15:28Z,"['android', 'interview', 'interview-questions']",the top internet companies android interview questions and answers
6714787,10441,1043,284,233,7673,"{'css': 47177, 'html': 5299, 'javascript': 289774}",User,https://api.github.com/repos/amsul/pickadate.js,2019-10-08T04:45:29Z,"['calendar', 'date', 'picker', 'time']",the mobile and lightweight jquery date time input picker
