combo_id,combination,count,distribution,language_used
695,c c++ cmake glsl shell,3,0.0,5
696,css html javascript makefile php,3,0.0,5
697,css dockerfile javascript python shell,3,0.0,5
698,c makefile perl shell,3,0.0,4
699,html java makefile scala shell,3,0.0,5
700,javascript php python,3,0.0,3
701,c go python shell,3,0.0,4
702,c c++ cmake perl python,3,0.0,5
703,batchfile html makefile python shell,3,0.0,5
704,c c++ objective-c perl,3,0.0,4
705,c perl python shell,3,0.0,4
706,css javascript php python shell,3,0.0,5
707,java javascript python shell,3,0.0,4
708,css java javascript python shell,3,0.0,5
709,c# java objective-c,3,0.0,3
710,c cmake m4 shell,3,0.0,4
711,c cmake m4 makefile shell,3,0.0,5
712,batchfile html java shell xslt,3,0.0,5
713,java logos,3,0.0,2
714,c c++ cmake perl shell,3,0.0,5
715,css dockerfile html javascript php,3,0.0,5
716,c c++ objective-c++,3,0.0,3
717,c c++ qmake,3,0.0,3
718,kotlin shell,3,0.0,2
719,c roff shell,3,0.0,3
720,batchfile c++ cmake,3,0.0,3
721,assembly python,3,0.0,2
722,groovy java tsql,3,0.0,3
723,c++ rust,3,0.0,2
724,html java makefile shell,3,0.0,4
725,css javascript php xslt,3,0.0,4
726,c python roff shell,3,0.0,4
727,go html makefile,3,0.0,3
728,dockerfile java python shell,3,0.0,4
729,css java javascript tsql,3,0.0,4
730,c++ cmake java shell,3,0.0,4
731,c c++ perl python shell,3,0.0,5
732,css html javascript perl,3,0.0,4
733,html javascript objective-c swift,3,0.0,4
734,lua shell,3,0.0,2
735,c++ qmake shell,3,0.0,3
736,java javascript objective-c shell,3,0.0,4
737,java rich text format,3,0.0,4
738,javascript php smarty,3,0.0,3
739,css javascript php smarty,3,0.0,4
740,c cmake makefile python,3,0.0,4
741,javascript perl,3,0.0,2
742,c# smalltalk,3,0.0,2
743,c++ makefile shell,3,0.0,3
744,c++ tex,3,0.0,2
745,c++ python tex,3,0.0,3
746,css javascript php shell tsql,3,0.0,5
747,css html java javascript php,3,0.0,5
748,html java php,3,0.0,3
749,css java javascript php,3,0.0,4
750,c c++ qmake shell,3,0.0,4
751,html java javascript php python,3,0.0,5
752,c c++ emacs lisp,3,0.0,4
753,dockerfile java shell,3,0.0,3
754,batchfile c++,3,0.0,2
